sku,name,supplier,replacement_sku,is_exchange
041067519,מעבר קיר לצנרת משאבת בלם,,,לא
041071397,צינור גמיש עודפי דלק למיכל,,,לא
041072741,קפיץ הארכה גלגלי מרכוב ותמך,,,לא
041074809,מכלל נעילה גלגל מרכוב ימין,,,לא
041074817,אום גלגל מרכוב ימין,,,לא
041074841,בורג חף גלגל מרכוב ימין ושמאל,,,לא
041074850,אום גלגל מרכוב שמאל,,,לא
041077786,רשת יניקה - כנף קדמיתצ ימנית,,,לא
041083239,פין אבטחת דלת סיפון,,,לא
041083816,אטם,,,לא
041085860,מוט למזלג לרצוע 4פ,,,לא
041089156,רצועה קצרה מיכל מים לשתיה,,,לא
041089326,כבל הארקה מיכל דלק פנימי ימי,,,לא
041089873,מכסה לפיית מילוי דלק **,,,לא
041089881,פין מכסה שריון-פתח מילוי דלק,,,לא
041090260,אטם שסתום ריקון,,,לא
041094222,גומי למתאם פריסקופ אמצעי,,,לא
041096012,תותב כדורי,,,לא
041096020,טבעת המיסב,,,לא
041096063,פין קפיצי,,,לא
041102098,דיסקית לידית דלת טיפולים,,,לא
041102128,בורג עזר לידית דלת טיפולים,,,לא
041102519,כוסית נוזל בלם,,,כן
041102560,אטם גומי לכוסית בלם,,,לא
041102802,קפיץ לידית בלם חניה,,,לא
041107740,פקק מכלל למיכל מים,,,לא
041108202,קפיץ בלם חנייה,,,לא
041114304,פין להדום מושב מפקד,,,לא
041117222,כיסא טען,,,לא
0411336110,כבל חיבור מארזים אחוריים,,,לא
041150319,מדף נהג משופר מכלל+מנגנון,,,כן
041160489,חיישן סל''ד כניסה-כיוון-יציא,,,לא
041160543,חיישן טמפ בקרה ושליחה,,,לא
041161019,רפידת בלם מכלל ממסרת טינו,,,לא
041162082,יוניט לחץ שמן ממסרת 2.5 בר,,,לא
041162090,יוניט לחץ שמן ממסרת 10 בר,,,לא
041162120,בורר הילוכים טינו,,,כן
041162325,בורר הילוכים מכלל דגם APV24V,,,כן
041171367,כדור ידית בורר הילוכים,,,לא
041172096,בולם זעזועים,,,לא
041172320,דיסקיות,,,לא
041173394,דיסקת לחץ למיקבעי ממסרת,,,לא
041174013,מיסב קצה מוט במע' היגוי,,,לא
041174021,מתאם למיסב קצה מוט במע' היגוי,,,לא
041174145,מגן אבק גיר סלקטור,,,לא
041184302,תפס לבסיס מאוורר נהג שוש 572,,,כן
041201835,רתמה מתג מאיט,,,לא
041201851,קופסת קשר PTT,,,לא
041201967,מתג לחיצה מאיט בהגה,,,לא
041208279,כבל מאיץ יד - לא כולל מעטפת,,,לא
041210915,פקק למתאם כוסית בלם,,,לא
041211016,דיסקית,,,לא
041211156,מוטות חיבור להיגוי,,,לא
041211237,ציר היגוי תא נהג,,,לא
041211288,קפיץ,,,לא
041211342,"מוט למערכת היגוי סימן 2,3",,,לא
041211415,מוט חיבור,,,לא
041221577,בורג חף לפגוש הידראולי,,,לא
041223057,פיטמת סיכה לפריקה צלב ספרי,,,לא
0412269219,פרפרית לאפיסקופ נהג,,,לא
041240059,ממסר הגנה למתח נמוך,,,כן
041268204,מדף דו צירי,,041450002,לא
041268522,"ציר מכסה פיית דלק מיגון בט""ש",,,לא
041268883,"בית פריסקופ דור ד לבט""ש 2",,,לא
041273054,ידית הפעלה,,,לא
041273062,ידית מדף מפקד,,,לא
041273070,ציר לידית הפעלה מדף מפקד,,,לא
041273151,קפיץ לידית הפעלה מדף מפקד,,,לא
0413-03638,מהדק אליפטי,,,לא
0413-04456,צינור גומי לנשם מנוע,,,לא
0413-04499,מהדק לצנרת יניקת אוויר,,,לא
0413-12130,אטם צינור יניקת אוויר צד שמאל,,,לא
0413-12190,אטם למוביל,,,לא
0413-12254,אום בית מכלל ( אום למהדק ),,,לא
041300396,ווסת 800 אמפר מנוע 1200,,,כן
041300779,מתג חום שמן מנוע 1200,,,לא
041301791,משאבת דלק מכנית מנוע 1200,,,לא
041303638,מהדק אליפטי,,,לא
041303662,צינור יניקה גמיש מסנן אחורי ימין,,,לא
041304014,קרב מסנן אוויר אינטגרלי,,,לא
041304065,"אטם ""O"" לצינור ממסנן אינט לטורבו",,,לא
041304456,צינור גומי לנשם מנוע,,,לא
041304499,מהדק לצנרת יניקת אוויר,,,לא
041305231,צינור עודפי דלק קשיח למיכלי,,,לא
041306050,"צינורגמיש למשאבתועדפים מ""א",,,לא
041306181,אטם מכסה משאבה,,,לא
041306246,אטם למחוש דלק מיכל אחורי,,,לא
041306343,מכסה תדלוק,,,לא
041306432,צינור גמיש לעודפים מיכל דלק,,,לא
041307005,"כנף מתקפל ימין, מכלל",,,כן
041307285,בורג חיבור כנפיים לתובה,,,לא
041308133,"גובל לפתיחת בית פנס שו""ש 692",,,לא
041308222,מנגנון קפיץ הידוק לכנף שמאל,,,לא
041309016,מגן רתמות פנס אחורי,,,כן
